Hole_ID,Fe_Zr,Ni_Zr,Co_Zr,Cu_Zr,L1_Niton,L2_Niton,Ox_Niton,Au_Total,MagSus,Au,Au_Tails,Solid_L1,Recovery
836581,152,0.17,1.05,0.1,S3,sr,Tr,1.381,0.55,1.308,0.073,S4,0.944189602
836582,108,0.12,0.72,0.07,S3,sr,Tr,1.043,0.32,0.972,0.071,S4,0.926954733
836583,104,0.11,0.69,0.07,S3,sr,Tr,0.367,0.42,0.301,0.066,S4,0.780730897
836584,267,0.76,1.13,0.11,S3,sr,Tr,5.32,0.54,5.058,0.262,S4,0.94820087
836586,243,0.5,1.04,0.1,S3,sr,Tr,2.173,0.48,2.051,0.122,S4,0.940516821
836587,125,0.27,0.58,0.06,S3,sr,Tr,7.031,0.4,6.587,0.444,S4,0.932594504
836589,144,0.27,0.71,0.07,S3,sr,Tr,2.64,0.61,2.489,0.151,S4,0.939333065
836591,139,0.25,0.78,0.08,S3,sr,Tr,0.335,0.7,0.243,0.092,S4,0.621399177
836592,107,0.12,0.78,0.08,S3,fr,Fr,0.192,0.35,0.135,0.057,S4,0.577777778
836593,179,0.14,0.85,0.08,S4,fr,Fr,0.652,0.24,0.586,0.066,S4,0.887372014
836594,236,0.38,0.94,0.09,S4,fr,Fr,0.246,0.46,0.219,0.027,S4,0.876712329
836598,177,0.34,0.92,0.09,S4,fr,Fr,0.44,0.14,0.392,0.048,S4,0.87755102
836602,260,0.54,0.95,0.09,S4,fr,Fr,0.152,0.4,0.113,0.039,S4,0.654867257
836606,184,0.31,0.7,0.14,R,c,R,0.662,0.22,0.611,0.051,S4,0.916530278
836607,199,0.28,0.7,0.07,S4,sp,Ox,0.403,0.1,0.366,0.037,S4,0.898907104
836608,238,0.39,0.79,0.18,S4,sp,Ox,0.829,0.11,0.657,0.172,S4,0.738203957
836609,124,0.23,0.59,0.06,S4,sp,Ox,0.173,0.11,0.148,0.025,S4,0.831081081
836610,146,0.31,0.75,0.07,S4,sp,Ox,0.213,0.12,0.186,0.027,S4,0.85483871
836611,107,0.12,0.78,0.08,S4,sp,Ox,0.194,0.15,0.168,0.026,S4,0.845238095
836612,85,0.12,0.74,0.07,S4,sp,Ox,0.394,0.05,0.331,0.063,S4,0.809667674
836613,135,0.14,0.85,0.08,S4,sp,Ox,0.413,0.15,0.371,0.042,S4,0.886792453
836614,101,0.42,1.14,0.11,I2,sp,Ox,0.235,0.15,0.215,0.02,S4,0.906976744
836615,81,0.12,0.75,0.07,S4,sp,Ox,0.173,0.13,0.14,0.033,S4,0.764285714
836616,160,0.28,0.79,0.08,S4,sp,Ox,0.287,0.11,0.235,0.052,S4,0.778723404
836617,213,0.31,0.83,0.18,S4,sp,Ox,0.574,0.6,0.516,0.058,S4,0.887596899
836619,184,0.26,0.8,0.2,S4,sp,Ox,0.769,0.32,0.678,0.091,S4,0.865781711
836620,172,0.35,0.86,0.19,S4,sp,Ox,0.78,0.4,0.706,0.074,S4,0.895184136
836621,216,0.28,0.86,0.2,S4,sp,Ox,2.734,0.29,2.501,0.233,S4,0.906837265
836622,257,0.23,1.47,0.14,S4,sp,Ox,0.759,0.27,0.647,0.112,S4,0.826893354
836624,80,0.1,0.62,0.06,S3,sp,Ox,0.133,0.13,0.103,0.03,S4,0.708737864
836625,267,0.63,1.57,0.15,S3,sp,Ox,0.753,0.86,0.675,0.078,S4,0.884444444
836627,216,0.15,0.96,0.24,S4,sp,Ox,0.309,0.24,0.263,0.046,S4,0.825095057
836628,125,0.29,0.79,0.08,S3,sp,Ox,0.284,0.29,0.259,0.025,S4,0.903474903
836629,154,0.15,0.94,0.09,S3,sp,Ox,0.438,0.45,0.374,0.064,S4,0.828877005
836630,82,0.13,0.83,0.08,S3,sp,Ox,0.167,0.16,0.134,0.033,S4,0.753731343
836633,147,0.14,0.86,0.08,S4,sp,Ox,0.175,0.3,0.15,0.025,S4,0.833333333
836634,162,0.14,0.91,0.09,S4,sp,Ox,0.319,0.44,0.274,0.045,S4,0.835766423
836636,186,0.12,0.76,0.07,S4,sp,Ox,3.848,0.27,3.49,0.358,S4,0.897421203
836637,327,0.21,1.34,0.13,S4,sp,Ox,2.247,0.5,1.993,0.254,S4,0.872553939
836638,300,0.42,1.05,0.1,S4,sp,Ox,1.376,0.27,1.217,0.159,S4,0.869350863
836639,219,0.36,1.11,0.11,S4,sp,Ox,1.48,0.4,1.363,0.117,S4,0.914159941
836640,323,0.63,1.25,0.12,S4,sp,Ox,0.751,0.33,0.648,0.103,S4,0.841049383
836641,240,0.54,0.96,0.09,S4,sp,Ox,0.639,0.34,0.572,0.067,S4,0.882867133
836642,249,0.46,0.96,0.21,S4,sp,Ox,1.061,0.47,0.958,0.103,S4,0.892484342
836644,215,0.16,1.01,0.24,S4,sr,Tr,0.356,0.28,0.303,0.053,S4,0.825082508
836645,226,0.35,0.88,0.27,S4,sr,Tr,0.207,0.31,0.18,0.027,S4,0.85
836646,185,0.47,0.74,0.07,S4,sr,Tr,0.571,0.16,0.489,0.082,S4,0.832310838
836647,177,0.14,0.87,0.09,S4,sr,Tr,1.933,0.25,1.754,0.179,S4,0.897947548
836648,200,0.15,0.93,0.09,S4,sr,Tr,0.281,0.56,0.234,0.047,S4,0.799145299
